date_draft,entreprise,email,segment,subject,draft_id,date_sent,status
2026-05-11,Immobis,immobiscomedie@immobis.fr,E,Un cadre différent pour votre équipe ?,r5965137109379705451,,draft_créé
2026-05-11,Immo MAPI,contact@immomapi.fr,E,Un cadre différent pour votre équipe ?,r-5819761749471597270,,draft_créé
2026-05-11,Immovance Castelnau,contact@immovance.fr,E,Un cadre différent pour votre équipe ?,r-2528102717985263958,,draft_créé
2026-05-11,COGIM,contact@cogim.eu,A,Une expérience pour vos acquéreurs,r7729859053568805452,,draft_créé
2026-05-11,Menon & Associés,clementine@menon.fr,B,Idée séminaire d'équipe à 15 min de Montpellier,r-4056147442011001388,,draft_créé
2026-05-11,Cabinet C&R,contact@cabinet-cr.fr,B,Idée séminaire d'équipe à 10 min de Lattes,r-4074568292625803033,,draft_créé
2026-05-11,AUGEFI Montpellier,montpellier@augefi.fr,B,Idée séminaire d'équipe à 10 min de Mauguio,r2885508142648172244,,draft_créé
2026-05-11,Listen'Up,contact@listenup.fr,C,Une carte yacht à ajouter à votre offre événementielle ?,r1485918653510993827,,draft_créé
2026-05-11,Moon Event Montpellier,contact@moon-event.fr,C,Une carte yacht à ajouter à votre offre événementielle ?,r8478033896997072778,,draft_créé
2026-05-11,Feely Événements,bienvenue@feely-evenements.fr,C,Une carte yacht à ajouter à votre offre événementielle ?,r-679774168490891858,,draft_créé
2026-05-11,Mas de Daumas Gassac,contact@daumas-gassac.com,D,"Vos visiteurs domaine, embarqués depuis Carnon ?",r-7777626565374926496,,draft_créé
2026-05-11,Domaine Castan,domainecastan@gmail.com,D,"Vos visiteurs domaine, embarqués depuis Carnon ?",r3845531249026857171,,draft_créé
2026-05-11,Château Boisset,contact@chateauboisset.fr,D,"Vos visiteurs domaine, embarqués depuis Carnon ?",r8800403299500018235,,draft_créé
2026-05-11,Mercedes-Benz Sodira Montpellier,infos.mbmontpellier@groupe-maurin.com,A,Une expérience pour vos clients propriétaires,r-872561074034974904,,draft_créé
2026-05-11,BMW Montpellier (Groupe GRIM),contactezmoi@groupe-grim.com,A,Une expérience pour vos clients propriétaires,r-5398003925937071757,,draft_créé
